日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017/5/16,'000914,300金融,5486.051,5486.9228,5437.7323,5476.6833,5488.3001,-2.2491,-0.041,25494995,27390897134
2017/5/15,'000914,300金融,5488.3001,5526.0309,5481.7441,5487.7596,5481.7071,6.593,0.1203,25239302,28908796025
2017/5/12,'000914,300金融,5481.7071,5482.4994,5362.1746,5365.2127,5376.5172,105.1899,1.9565,33821869,36565878415
2017/5/11,'000914,300金融,5376.5172,5383.2858,5321.8212,5330.1041,5346.5812,29.936,0.5599,28137983,30568258734
2017/5/10,'000914,300金融,5346.5812,5384.7432,5319.6759,5319.6759,5321.4035,25.1777,0.4731,24387359,30225627906
2017/5/9,'000914,300金融,5321.4035,5331.0732,5297.911,5301.1407,5323.3273,-1.9238,-0.0361,16822955,19376553853
2017/5/8,'000914,300金融,5323.3273,5323.6571,5274.0687,5295.5856,5324.0537,-0.7264,-0.0136,31504730,34961713579
2017/5/5,'000914,300金融,5324.0537,5340.6169,5272.7604,5340.6169,5360.365,-36.3113,-0.6774,31218344,34379607432
2017/5/4,'000914,300金融,5360.365,5384.3792,5347.5749,5373.5284,5383.6864,-23.3214,-0.4332,20494813,24468410082
2017/5/3,'000914,300金融,5383.6864,5419.4054,5372.0448,5409.6698,5412.8602,-29.1738,-0.539,18999630,22977640789
2017/5/2,'000914,300金融,5412.8602,5449.0825,5409.7704,5440.238,5457.5049,-44.6447,-0.818,18998289,24171929946
2017/4/28,'000914,300金融,5457.5049,5457.5049,5417.8159,5446.8398,5452.5224,4.9825,0.0914,22719461,27241015225
2017/4/27,'000914,300金融,5452.5224,5453.963,5412.2352,5438.8361,5452.3567,0.1657,0.003,28869374,34036647583
2017/4/26,'000914,300金融,5452.3567,5478.5336,5418.2115,5437.2114,5437.1503,15.2064,0.2797,27462821,34778976938
2017/4/25,'000914,300金融,5437.1503,5453.5109,5430.1373,5432.8605,5438.2485,-1.0982,-0.0202,20182835,25313646942
2017/4/24,'000914,300金融,5438.2485,5440.6208,5390.6303,5431.6875,5440.0376,-1.7891,-0.0329,26313571,29549909322
2017/4/21,'000914,300金融,5440.0376,5444.3229,5388.1476,5396.487,5393.0073,47.0303,0.8721,25532057,28854335419
2017/4/20,'000914,300金融,5393.0073,5409.9368,5371.3798,5402.8893,5404.9179,-11.9106,-0.2204,22679190,28241911201
2017/4/19,'000914,300金融,5404.9179,5428.5736,5386.3581,5423.3668,5438.6743,-33.7564,-0.6207,26071480,26655407383
2017/4/18,'000914,300金融,5438.6743,5497.4922,5438.272,5496.9119,5510.3189,-71.6446,-1.3002,22684332,29897377634
2017/4/17,'000914,300金融,5510.3189,5514.8022,5456.3327,5501.7804,5521.9489,-11.63,-0.2106,27896082,33127123371
2017/4/14,'000914,300金融,5521.9489,5564.0921,5497.4668,5563.4967,5566.6634,-44.7145,-0.8033,25581760,28218811447
2017/4/13,'000914,300金融,5566.6634,5577.8625,5558.8406,5571.9653,5589.0041,-22.3407,-0.3997,25253582,28440761293
2017/4/12,'000914,300金融,5589.0041,5615.3915,5556.1212,5593.5708,5584.9039,4.1002,0.0734,43883757,68792225367
2017/4/11,'000914,300金融,5584.9039,5586.6506,5516.747,5574.3601,5575.8405,9.0634,0.1625,31127186,38903611587
2017/4/10,'000914,300金融,5575.8405,5600.1739,5570.2638,5596.5597,5593.9425,-18.102,-0.3236,28290726,32698896609
2017/4/7,'000914,300金融,5593.9425,5606.77,5575.4555,5595.8002,5593.359,0.5835,0.0104,27951965,30360837430
2017/4/6,'000914,300金融,5593.359,5608.8139,5577.45,5603.4504,5605.4521,-12.0931,-0.2157,25367421,28885212001
2017/4/5,'000914,300金融,5605.4521,5607.7484,5564.5698,5572.5643,5553.6585,51.7936,0.9326,30399983,32246477922
2017/3/31,'000914,300金融,5553.6585,5558.1984,5515.6856,5518.7037,5525.4721,28.1864,0.5101,23446979,22104817790
2017/3/30,'000914,300金融,5525.4721,5548.0547,5504.4513,5535.4967,5538.8102,-13.3381,-0.2408,24961263,25047646674
2017/3/29,'000914,300金融,5538.8102,5582.5646,5533.4902,5570.124,5567.2404,-28.4302,-0.5107,22118221,23422376361
2017/3/28,'000914,300金融,5567.2404,5594.3077,5560.033,5592.5804,5584.6817,-17.4413,-0.3123,16615775,19352047606
2017/3/27,'000914,300金融,5584.6817,5616.5906,5565.4772,5566.7123,5571.5997,13.082,0.2348,26607221,29652916831
2017/3/24,'000914,300金融,5571.5997,5580.4424,5520.717,5541.3862,5537.7425,33.8572,0.6114,25370285,28560726645
2017/3/23,'000914,300金融,5537.7425,5559.627,5513.5865,5513.5865,5507.2603,30.4822,0.5535,23085828,26086279673
2017/3/22,'000914,300金融,5507.2603,5559.3732,5500.4907,5558.7788,5578.193,-70.9327,-1.2716,25878997,27015027798
2017/3/21,'000914,300金融,5578.193,5588.2924,5560.7663,5584.8847,5584.4103,-6.2173,-0.1113,22596561,24848448083
2017/3/20,'000914,300金融,5584.4103,5615.0885,5559.1914,5609.8501,5614.9529,-30.5426,-0.544,24064497,25656473491
2017/3/17,'000914,300金融,5614.9529,5706.0314,5605.8247,5699.0679,5685.6981,-70.7452,-1.2443,31316584,33621386398
2017/3/16,'000914,300金融,5685.6981,5703.1934,5658.8793,5658.8793,5646.0342,39.6639,0.7025,35124061,37033987613
2017/3/15,'000914,300金融,5646.0342,5647.8845,5626.4457,5642.882,5650.1474,-4.1132,-0.0728,18699634,19558438538
2017/3/14,'000914,300金融,5650.1474,5679.1123,5641.3402,5643.6704,5645.5086,4.6388,0.0822,19607538,21982284373
2017/3/13,'000914,300金融,5645.5086,5645.5452,5574.6903,5593.3888,5598.3314,47.1772,0.8427,22083963,24147436605
2017/3/10,'000914,300金融,5598.3314,5613.864,5593.3633,5600.6705,5604.9395,-6.6081,-0.1179,18058291,18082072372
2017/3/9,'000914,300金融,5604.9395,5627.9191,5583.1885,5626.2421,5636.3497,-31.4102,-0.5573,20066918,20321347536
2017/3/8,'000914,300金融,5636.3497,5644.7764,5625.9171,5635.3155,5642.2387,-5.889,-0.1044,15852581,17736438384
2017/3/7,'000914,300金融,5642.2387,5642.8762,5616.4822,5626.7419,5627.7169,14.5218,0.258,17910959,18295106544
2017/3/6,'000914,300金融,5627.7169,5642.3793,5607.2981,5608.8516,5611.3738,16.3431,0.2912,20512111,20350032266
2017/3/3,'000914,300金融,5611.3738,5623.6845,5598.6206,5617.659,5632.8657,-21.4919,-0.3815,17209403,19593768004
2017/3/2,'000914,300金融,5632.8657,5701.5799,5631.7526,5682.0639,5669.6984,-36.8327,-0.6496,22042059,25755220892
2017/3/1,'000914,300金融,5669.6984,5699.9673,5664.5716,5673.7952,5670.6565,-0.9581,-0.0169,23194770,23739322856
2017/2/28,'000914,300金融,5670.6565,5695.0742,5662.5716,5663.7548,5668.0282,2.6283,0.0464,14990876,16316531144
