日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017-05-16,'601398,工商银行,5.0,5.08,4.97,5.08,5.1,-0.1,-1.9608,149869732,750102368.0
2017-05-15,'601398,工商银行,5.1,5.12,5.01,5.05,5.06,0.04,0.7905,155419012,789661963.0
2017-05-12,'601398,工商银行,5.06,5.06,4.91,4.92,4.93,0.13,2.6369,165151106,826699747.0
2017-05-11,'601398,工商银行,4.93,4.96,4.9,4.9,4.9,0.03,0.6122,106264449,524557064.0
2017-05-10,'601398,工商银行,4.9,4.91,4.86,4.86,4.87,0.03,0.616,92043116,449950713.0
2017-05-09,'601398,工商银行,4.87,4.91,4.86,4.87,4.9,-0.03,-0.6122,77237372,377718384.0
2017-05-08,'601398,工商银行,4.9,4.9,4.82,4.83,4.86,0.04,0.823,141458489,688241515.0
2017-05-05,'601398,工商银行,4.86,4.87,4.78,4.79,4.81,0.05,1.0395,125587515,605112334.0
2017-05-04,'601398,工商银行,4.81,4.82,4.78,4.8,4.81,0.0,0.0,71789608,344687610.0
2017-05-03,'601398,工商银行,4.81,4.83,4.79,4.82,4.82,-0.01,-0.2075,76817862,369536251.0
2017-05-02,'601398,工商银行,4.82,4.87,4.82,4.86,4.88,-0.06,-1.2295,42386657,205273096.0
2017-04-28,'601398,工商银行,4.88,4.88,4.83,4.87,4.88,0.0,0.0,66062290,320794707.0
2017-04-27,'601398,工商银行,4.88,4.88,4.83,4.86,4.87,0.01,0.2053,103045540,500778726.0
2017-04-26,'601398,工商银行,4.87,4.87,4.81,4.82,4.81,0.06,1.2474,85523283,414075215.0
2017-04-25,'601398,工商银行,4.81,4.83,4.8,4.82,4.82,-0.01,-0.2075,63745827,307119446.0
2017-04-24,'601398,工商银行,4.82,4.84,4.78,4.79,4.81,0.01,0.2079,92729293,446364424.0
2017-04-21,'601398,工商银行,4.81,4.83,4.72,4.73,4.73,0.08,1.6913,125002644,597576218.0
2017-04-20,'601398,工商银行,4.73,4.77,4.72,4.73,4.74,-0.01,-0.211,64197339,304725880.0
2017-04-19,'601398,工商银行,4.74,4.79,4.73,4.77,4.79,-0.05,-1.0438,89715577,426318391.0
2017-04-18,'601398,工商银行,4.79,4.81,4.77,4.8,4.83,-0.04,-0.8282,61091798,292283671.0
2017-04-17,'601398,工商银行,4.83,4.83,4.75,4.79,4.81,0.02,0.4158,112989883,540611451.0
2017-04-14,'601398,工商银行,4.81,4.82,4.78,4.8,4.81,0.0,0.0,45011667,216116057.0
2017-04-13,'601398,工商银行,4.81,4.84,4.79,4.84,4.85,-0.04,-0.8247,79977033,385351338.0
2017-04-12,'601398,工商银行,4.85,4.88,4.78,4.79,4.8,0.05,1.0417,113810215,548277448.0
2017-04-11,'601398,工商银行,4.8,4.83,4.78,4.81,4.83,-0.03,-0.6211,81013654,388871585.0
2017-04-10,'601398,工商银行,4.83,4.87,4.81,4.86,4.86,-0.03,-0.6173,58855666,284177676.0
2017-04-07,'601398,工商银行,4.86,4.87,4.81,4.82,4.83,0.03,0.6211,89335104,433073222.0
2017-04-06,'601398,工商银行,4.83,4.86,4.8,4.85,4.85,-0.02,-0.4124,62979558,303787354.0
2017-04-05,'601398,工商银行,4.85,4.86,4.81,4.84,4.84,0.01,0.2066,109486990,529500135.0
2017-03-31,'601398,工商银行,4.84,4.88,4.77,4.78,4.81,0.03,0.6237,130354357,629464878.0
2017-03-30,'601398,工商银行,4.81,4.83,4.73,4.77,4.78,0.03,0.6276,127671435,607688496.0
2017-03-29,'601398,工商银行,4.78,4.78,4.73,4.74,4.75,0.03,0.6316,98222012,467762713.0
2017-03-28,'601398,工商银行,4.75,4.76,4.72,4.75,4.75,0.0,0.0,76414039,362490509.0
2017-03-27,'601398,工商银行,4.75,4.76,4.66,4.67,4.69,0.06,1.2793,157533741,743929161.0
2017-03-24,'601398,工商银行,4.69,4.69,4.63,4.67,4.67,0.02,0.4283,96980598,452381998.0
2017-03-23,'601398,工商银行,4.67,4.69,4.65,4.67,4.66,0.01,0.2146,89150340,416701715.0
2017-03-22,'601398,工商银行,4.66,4.71,4.65,4.71,4.71,-0.05,-1.0616,112956144,528460211.0
2017-03-21,'601398,工商银行,4.71,4.72,4.69,4.7,4.71,0.0,0.0,57111312,268888793.0
2017-03-20,'601398,工商银行,4.71,4.73,4.69,4.7,4.69,0.02,0.4264,83580778,393812178.0
2017-03-17,'601398,工商银行,4.69,4.72,4.67,4.71,4.7,-0.01,-0.2128,81224950,381978603.0
2017-03-16,'601398,工商银行,4.7,4.75,4.69,4.74,4.75,-0.05,-1.0526,118257619,559053138.0
2017-03-15,'601398,工商银行,4.75,4.76,4.71,4.76,4.76,-0.01,-0.2101,58352533,276534270.0
2017-03-14,'601398,工商银行,4.76,4.77,4.72,4.72,4.73,0.03,0.6342,69701533,330953825.0
2017-03-13,'601398,工商银行,4.73,4.73,4.68,4.7,4.71,0.02,0.4246,67420857,317462710.0
2017-03-10,'601398,工商银行,4.71,4.71,4.68,4.7,4.7,0.01,0.2128,52331446,245851158.0
2017-03-09,'601398,工商银行,4.7,4.72,4.67,4.68,4.69,0.01,0.2132,128547007,604436588.0
2017-03-08,'601398,工商银行,4.69,4.7,4.66,4.66,4.68,0.01,0.2137,63630200,297861104.0
2017-03-07,'601398,工商银行,4.68,4.68,4.63,4.64,4.64,0.04,0.8621,85552347,398252098.0
2017-03-06,'601398,工商银行,4.64,4.68,4.63,4.64,4.65,-0.01,-0.2151,95469655,444384940.0
2017-03-03,'601398,工商银行,4.65,4.68,4.65,4.66,4.67,-0.02,-0.4283,42939726,200181544.0
2017-03-02,'601398,工商银行,4.67,4.69,4.67,4.68,4.68,-0.01,-0.2137,50636315,237114179.0
2017-03-01,'601398,工商银行,4.68,4.71,4.65,4.68,4.69,-0.01,-0.2132,93299143,436965708.0
2017-02-28,'601398,工商银行,4.69,4.7,4.67,4.68,4.69,0.0,0.0,49814935,233271741.0
2017-02-27,'601398,工商银行,4.69,4.7,4.67,4.68,4.7,-0.01,-0.2128,58505320,274228814.0
2017-02-24,'601398,工商银行,4.7,4.7,4.68,4.7,4.71,-0.01,-0.2123,54287246,254734807.0
2017-02-23,'601398,工商银行,4.71,4.72,4.69,4.7,4.7,0.01,0.2128,61309086,288149505.0
2017-02-22,'601398,工商银行,4.7,4.7,4.67,4.68,4.68,0.02,0.4274,60973525,285950423.0
2017-02-21,'601398,工商银行,4.68,4.71,4.66,4.68,4.67,0.01,0.2141,90739831,425412580.0
2017-02-20,'601398,工商银行,4.67,4.71,4.63,4.63,4.64,0.03,0.6466,155702505,728360221.0
2017-02-17,'601398,工商银行,4.64,4.7,4.62,4.7,4.68,-0.04,-0.8547,95376937,444519269.0
2017-02-16,'601398,工商银行,4.68,4.72,4.66,4.68,4.68,0.0,0.0,103172534,483137636.0
2017-02-15,'601398,工商银行,4.68,4.69,4.62,4.62,4.62,0.06,1.2987,156678868,729898537.0
2017-02-14,'601398,工商银行,4.62,4.64,4.61,4.62,4.62,0.0,0.0,80645823,372864457.0
2017-02-13,'601398,工商银行,4.62,4.63,4.58,4.59,4.59,0.03,0.6536,93998902,433628174.0
2017-02-10,'601398,工商银行,4.59,4.59,4.56,4.57,4.57,0.02,0.4376,59720167,273504007.0
2017-02-09,'601398,工商银行,4.57,4.57,4.54,4.55,4.56,0.01,0.2193,65501269,298864411.0
